2021-11-26,20:20:12.288 DEBUG    [remote_connection.py:435] POST http://localhost:54524/session/1e05cf6a5363493fdd8ef3cd86f78a3c/element {"using": "css selector", "value": "#TopLevelEvents > div.Game > main > div.Footer > span.Label > span.Label__text"}
2021-11-26,20:20:12.301 DEBUG    [connectionpool.py:452] http://localhost:54524 "POST /session/1e05cf6a5363493fdd8ef3cd86f78a3c/element HTTP/1.1" 200 88
2021-11-26,20:20:12.301 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:12.302 DEBUG    [remote_connection.py:435] GET http://localhost:54524/session/1e05cf6a5363493fdd8ef3cd86f78a3c/element/ef1fb81e-d5b8-41c5-aebf-651c11cd43ee/text {"id": "ef1fb81e-d5b8-41c5-aebf-651c11cd43ee"}
2021-11-26,20:20:12.316 DEBUG    [connectionpool.py:452] http://localhost:54524 "GET /session/1e05cf6a5363493fdd8ef3cd86f78a3c/element/ef1fb81e-d5b8-41c5-aebf-651c11cd43ee/text HTTP/1.1" 200 12
2021-11-26,20:20:12.316 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:22.292 DEBUG    [remote_connection.py:435] POST http://localhost:54524/session/1e05cf6a5363493fdd8ef3cd86f78a3c/element {"using": "css selector", "value": "#TopLevelEvents > div.Game > main > div.Footer > span.Label > span.Label__text"}
2021-11-26,20:20:22.308 DEBUG    [connectionpool.py:452] http://localhost:54524 "POST /session/1e05cf6a5363493fdd8ef3cd86f78a3c/element HTTP/1.1" 404 1093
2021-11-26,20:20:22.309 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:33.354 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": []}}}, "desiredCapabilities": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": []}}}
2021-11-26,20:20:33.356 DEBUG    [connectionpool.py:227] Starting new HTTP connection (1): localhost:51041
2021-11-26,20:20:34.181 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session HTTP/1.1" 200 786
2021-11-26,20:20:34.181 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:34.181 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/url {"url": "https://www.adjarabet.com/en/Casino/All/All"}
2021-11-26,20:20:37.779 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/url HTTP/1.1" 200 14
2021-11-26,20:20:37.780 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:37.780 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element {"using": "css selector", "value": "#login-form > div._s_aitem-scroll-scrolled-none._s_flex._s_flex-a-start > div._s_flex._s_position-relative._s_mr-2 > div > input"}
2021-11-26,20:20:37.792 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/element HTTP/1.1" 200 88
2021-11-26,20:20:37.792 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:37.792 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element/ccef34e2-5ae5-46df-94bd-d6d54babdc3c/value {"text": "magdamd", "value": ["m", "a", "g", "d", "a", "m", "d"], "id": "ccef34e2-5ae5-46df-94bd-d6d54babdc3c"}
2021-11-26,20:20:37.864 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/element/ccef34e2-5ae5-46df-94bd-d6d54babdc3c/value HTTP/1.1" 200 14
2021-11-26,20:20:37.865 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:37.865 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element {"using": "css selector", "value": "#login-form > div._s_aitem-scroll-scrolled-none._s_flex._s_flex-a-start > div:nth-child(2) > div > input"}
2021-11-26,20:20:37.877 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/element HTTP/1.1" 200 88
2021-11-26,20:20:37.878 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:37.878 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element/c91962cd-40f6-402e-bd2e-b4a0e7264660/value {"text": "Kipiwelnik1", "value": ["K", "i", "p", "i", "w", "e", "l", "n", "i", "k", "1"], "id": "c91962cd-40f6-402e-bd2e-b4a0e7264660"}
2021-11-26,20:20:37.945 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/element/c91962cd-40f6-402e-bd2e-b4a0e7264660/value HTTP/1.1" 200 14
2021-11-26,20:20:37.946 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:37.946 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element {"using": "css selector", "value": "#login-form > div._s_flex._s_ml-5 > button > span"}
2021-11-26,20:20:37.956 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/element HTTP/1.1" 200 88
2021-11-26,20:20:37.956 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:37.957 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element/f3de34b1-e2b5-444d-b777-c65c8b1f9434/click {"id": "f3de34b1-e2b5-444d-b777-c65c8b1f9434"}
2021-11-26,20:20:38.038 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/element/f3de34b1-e2b5-444d-b777-c65c8b1f9434/click HTTP/1.1" 200 14
2021-11-26,20:20:38.038 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:39.039 INFO     [Adjara.py:33] Authorization on the site is successful
2021-11-26,20:20:39.039 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/url {"url": "https://www.adjarabet.com/en/ingame?id=101680&gameId=6053&pid=73&type=Casino"}
2021-11-26,20:20:40.548 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/url HTTP/1.1" 200 14
2021-11-26,20:20:40.548 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:42.550 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element {"using": "css selector", "value": "iframe"}
2021-11-26,20:20:42.729 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/element HTTP/1.1" 200 88
2021-11-26,20:20:42.730 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:42.730 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/frame {"id": {"element-6066-11e4-a52e-4f735466cecf": "050c9fef-ce21-4279-9f6d-a1ccecc8e26c"}}
2021-11-26,20:20:42.778 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/frame HTTP/1.1" 200 14
2021-11-26,20:20:42.778 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:44.779 INFO     [Adjara.py:42] Successfully switch to roulette frame
2021-11-26,20:20:44.780 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element {"using": "css selector", "value": "#TopLevelEvents > div.Game > main > div.Footer > span.Label > span.Label__text"}
2021-11-26,20:20:44.796 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/element HTTP/1.1" 200 88
2021-11-26,20:20:44.796 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:44.797 DEBUG    [remote_connection.py:435] GET http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element/39f78725-1cf5-4617-8811-306fac444c0e/text {"id": "39f78725-1cf5-4617-8811-306fac444c0e"}
2021-11-26,20:20:44.812 DEBUG    [connectionpool.py:452] http://localhost:51041 "GET /session/6625c7a6a652c8ab85e673820ef48305/element/39f78725-1cf5-4617-8811-306fac444c0e/text HTTP/1.1" 200 19
2021-11-26,20:20:44.812 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:44.812 DEBUG    [remote_connection.py:435] POST http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element {"using": "xpath", "value": "//*[@id='TopLevelEvents']/div[1]/main/div[1]/div[2]/div[2]/div[1]/div/div[1]/div"}
2021-11-26,20:20:44.828 DEBUG    [connectionpool.py:452] http://localhost:51041 "POST /session/6625c7a6a652c8ab85e673820ef48305/element HTTP/1.1" 200 88
2021-11-26,20:20:44.828 DEBUG    [remote_connection.py:486] Finished Request
2021-11-26,20:20:44.829 DEBUG    [remote_connection.py:435] GET http://localhost:51041/session/6625c7a6a652c8ab85e673820ef48305/element/340edb82-ce04-4c8c-89ba-514abb80abe0/text {"id": "340edb82-ce04-4c8c-89ba-514abb80abe0"}
